"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"HVICBUS","198604","1.013","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198605","1.135","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198606","1.088","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198607","0.96","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198608","0.805","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198609","0.727","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198610","0.703","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198611","0.756","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198612","0.805","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198613","10.786","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198701","0.995","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198702","0.841","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198703","0.957","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198704","1.013","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198705","1.135","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198706","1.088","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198707","0.96","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198708","0.805","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198709","0.727","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198710","0.703","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198711","0.756","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198712","0.805","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198713","10.786","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198801","0.995","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198802","0.841","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198803","0.957","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198804","1.013","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198805","1.135","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198806","1.088","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198807","0.96","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198808","0.805","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198809","0.727","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198810","0.703","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198811","0.756","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198812","0.805","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198813","10.786","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198901","0.733","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198902","0.652","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198903","0.793","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198904","0.844","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198905","0.983","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198906","0.907","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198907","0.794","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198908","0.707","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198909","0.663","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198910","0.703","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198911","0.742","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198912","0.765","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198913","9.288","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199001","0.844","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199002","0.875","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199003","1.004","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199004","0.92","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199005","0.973","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199006","1","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199007","0.858","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199008","0.768","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199009","0.624","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199010","0.677","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199011","0.73","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199012","0.878","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199013","10.151","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199101","0.903","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199102","0.774","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199103","0.909","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199104","0.904","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199105","0.997","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199106","0.904","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199107","0.856","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199108","0.764","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199109","0.649","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199110","0.622","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199111","0.65","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199112","0.771","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199113","9.702","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
